size,depth,technology,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy
large,0.5,linkedread,heterozygous,30,0,0,0,0,0,0,0
large,0.5,linkedread,homozygous,28,0,21,1,1,0.0344827586206897,0.0666666666666667,0.44
large,0.5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
large,0.5,linkedread (pooled),homozygous,2,0,0,6,1,0.75,0.857142857142857,0.75
large,0.5,ontlong,heterozygous,27,0,0,3,1,0.1,0.181818181818182,0.1
large,0.5,ontlong,homozygous,25,0,21,4,1,0.137931034482759,0.242424242424242,0.5
large,0.5,ontshort,heterozygous,30,0,0,0,0,0,0,0
large,0.5,ontshort,homozygous,21,0,21,8,1,0.275862068965517,0.432432432432432,0.58
large,0.5,pacbio,heterozygous,29,0,0,1,1,0.0333333333333333,0.0645161290322581,0.0333333333333333
large,0.5,pacbio,homozygous,26,0,21,3,1,0.103448275862069,0.1875,0.48
large,0.5,shortread,heterozygous,20,0,0,10,1,0.333333333333333,0.5,0.333333333333333
large,0.5,shortread,homozygous,10,0,21,19,1,0.655172413793103,0.791666666666667,0.8
large,2,linkedread,heterozygous,23,0,0,7,1,0.233333333333333,0.378378378378378,0.233333333333333
large,2,linkedread,homozygous,14,0,21,15,1,0.517241379310345,0.681818181818182,0.72
large,2,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
large,2,linkedread (pooled),homozygous,1,0,0,7,1,0.875,0.933333333333333,0.875
large,2,ontlong,heterozygous,10,1,0,20,0.952380952380952,0.666666666666667,0.784313725490196,0.645161290322581
large,2,ontlong,homozygous,0,0,21,29,1,1,1,1
large,2,ontshort,heterozygous,14,0,0,16,1,0.533333333333333,0.695652173913044,0.533333333333333
large,2,ontshort,homozygous,1,0,21,28,1,0.96551724137931,0.982456140350877,0.98
large,2,pacbio,heterozygous,12,0,0,18,1,0.6,0.75,0.6
large,2,pacbio,homozygous,1,0,21,28,1,0.96551724137931,0.982456140350877,0.98
large,2,shortread,heterozygous,5,0,0,25,1,0.833333333333333,0.909090909090909,0.833333333333333
large,2,shortread,homozygous,1,0,21,28,1,0.96551724137931,0.982456140350877,0.98
large,5,linkedread,heterozygous,5,0,0,25,1,0.833333333333333,0.909090909090909,0.833333333333333
large,5,linkedread,homozygous,3,0,21,26,1,0.896551724137931,0.945454545454545,0.94
large,5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
large,5,linkedread (pooled),homozygous,0,0,0,8,1,1,1,1
large,5,ontlong,heterozygous,2,1,0,28,0.96551724137931,0.933333333333333,0.949152542372881,0.903225806451613
large,5,ontlong,homozygous,0,0,21,29,1,1,1,1
large,5,ontshort,heterozygous,1,0,0,29,1,0.966666666666667,0.983050847457627,0.966666666666667
large,5,ontshort,homozygous,0,0,21,29,1,1,1,1
large,5,pacbio,heterozygous,0,0,0,30,1,1,1,1
large,5,pacbio,homozygous,0,0,21,29,1,1,1,1
large,5,shortread,heterozygous,0,0,0,30,1,1,1,1
large,5,shortread,homozygous,0,0,21,29,1,1,1,1
large,10,linkedread,heterozygous,1,0,0,29,1,0.966666666666667,0.983050847457627,0.966666666666667
large,10,linkedread,homozygous,0,0,21,29,1,1,1,1
large,10,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
large,10,linkedread (pooled),homozygous,0,0,0,8,1,1,1,1
large,10,ontlong,heterozygous,3,2,0,27,0.931034482758621,0.9,0.915254237288136,0.84375
large,10,ontlong,homozygous,0,0,21,29,1,1,1,1
large,10,ontshort,heterozygous,0,0,0,30,1,1,1,1
large,10,ontshort,homozygous,0,0,21,29,1,1,1,1
large,10,pacbio,heterozygous,0,0,0,30,1,1,1,1
large,10,pacbio,homozygous,0,0,21,29,1,1,1,1
large,10,shortread,heterozygous,0,0,0,30,1,1,1,1
large,10,shortread,homozygous,0,0,21,29,1,1,1,1
large,20,linkedread,heterozygous,0,0,0,30,1,1,1,1
large,20,linkedread,homozygous,0,0,21,29,1,1,1,1
large,20,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
large,20,linkedread (pooled),homozygous,0,0,0,8,1,1,1,1
large,20,ontlong,heterozygous,2,2,0,28,0.933333333333333,0.933333333333333,0.933333333333333,0.875
large,20,ontlong,homozygous,0,0,21,29,1,1,1,1
large,20,ontshort,heterozygous,0,0,0,30,1,1,1,1
large,20,ontshort,homozygous,0,0,21,29,1,1,1,1
large,20,pacbio,heterozygous,0,0,0,30,1,1,1,1
large,20,pacbio,homozygous,0,0,21,29,1,1,1,1
large,20,shortread,heterozygous,0,0,0,30,1,1,1,1
large,20,shortread,homozygous,0,0,21,29,1,1,1,1
medium,0.5,linkedread,heterozygous,61,0,0,0,0,0,0,0
medium,0.5,linkedread,homozygous,54,0,43,2,1,0.0357142857142857,0.0689655172413793,0.454545454545455
medium,0.5,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,0.5,linkedread (pooled),homozygous,9,0,0,7,1,0.4375,0.608695652173913,0.4375
medium,0.5,ontlong,heterozygous,60,0,0,1,1,0.0163934426229508,0.032258064516129,0.0163934426229508
medium,0.5,ontlong,homozygous,42,0,43,14,1,0.25,0.4,0.575757575757576
medium,0.5,ontshort,heterozygous,57,0,0,4,1,0.0655737704918033,0.123076923076923,0.0655737704918033
medium,0.5,ontshort,homozygous,53,0,43,3,1,0.0535714285714286,0.101694915254237,0.464646464646465
medium,0.5,pacbio,heterozygous,58,0,0,3,1,0.0491803278688525,0.09375,0.0491803278688525
medium,0.5,pacbio,homozygous,49,0,43,7,1,0.125,0.222222222222222,0.505050505050505
medium,0.5,shortread,heterozygous,37,3,0,24,0.888888888888889,0.39344262295082,0.545454545454546,0.375
medium,0.5,shortread,homozygous,29,1,43,27,0.964285714285714,0.482142857142857,0.642857142857143,0.7
medium,2,linkedread,heterozygous,54,0,0,7,1,0.114754098360656,0.205882352941176,0.114754098360656
medium,2,linkedread,homozygous,39,0,43,17,1,0.303571428571429,0.465753424657534,0.606060606060606
medium,2,linkedread (pooled),heterozygous,0,0,0,0,0,0,0,0
medium,2,linkedread (pooled),homozygous,7,0,0,9,1,0.5625,0.72,0.5625
medium,2,ontlong,heterozygous,13,0,0,48,1,0.786885245901639,0.880733944954128,0.786885245901639
medium,2,ontlong,homozygous,0,0,43,56,1,1,1,1
