technology,depth,FN,FP,TN,TP,precision,recall,F1,Accuracy
linkedread,0.5,342,0,130,8,1,0.0228571428571429,0.0446927374301676,0.2875
linkedread,2,255,0,130,95,1,0.271428571428571,0.426966292134831,0.46875
linkedread,5,117,0,130,233,1,0.665714285714286,0.799313893653516,0.75625
linkedread,10,57,0,130,293,1,0.837142857142857,0.911353032659409,0.88125
linkedread,20,52,0,130,298,1,0.851428571428571,0.919753086419753,0.891666666666667
linkedread (pooled),0.5,23,0,0,25,1,0.520833333333333,0.684931506849315,0.520833333333333
linkedread (pooled),2,14,0,0,34,1,0.708333333333333,0.829268292682927,0.708333333333333
linkedread (pooled),5,10,0,0,38,1,0.791666666666667,0.883720930232558,0.791666666666667
linkedread (pooled),10,8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333
linkedread (pooled),20,8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333
ontlong,0.5,295,0,130,55,1,0.157142857142857,0.271604938271605,0.385416666666667
ontlong,2,73,2,130,277,0.992831541218638,0.791428571428571,0.880763116057234,0.844398340248963
ontlong,5,10,3,130,340,0.991253644314869,0.971428571428571,0.981240981240981,0.973084886128364
ontlong,10,3,4,130,347,0.988603988603989,0.991428571428571,0.990014265335235,0.985537190082645
ontlong,20,2,3,130,348,0.991452991452991,0.994285714285714,0.992867332382311,0.989648033126294
ontshort,0.5,309,0,130,41,1,0.117142857142857,0.209718670076726,0.35625
ontshort,2,85,0,130,265,1,0.757142857142857,0.861788617886179,0.822916666666667
ontshort,5,16,0,130,334,1,0.954285714285714,0.976608187134503,0.966666666666667
ontshort,10,7,0,130,343,1,0.98,0.98989898989899,0.985416666666667
ontshort,20,9,0,130,341,1,0.974285714285714,0.986975397973951,0.98125
pacbio,0.5,309,0,130,41,1,0.117142857142857,0.209718670076726,0.35625
pacbio,2,72,0,130,278,1,0.794285714285714,0.885350318471338,0.85
pacbio,5,3,1,130,347,0.997126436781609,0.991428571428571,0.994269340974212,0.991683991683992
pacbio,10,1,2,130,349,0.994301994301994,0.997142857142857,0.995720399429387,0.993775933609959
pacbio,20,0,1,130,350,0.997150997150997,1,0.998573466476462,0.997920997920998
shortread,0.5,205,19,130,145,0.884146341463415,0.414285714285714,0.56420233463035,0.551102204408818
shortread,2,87,12,130,263,0.956363636363636,0.751428571428571,0.8416,0.798780487804878
shortread,5,44,8,130,306,0.974522292993631,0.874285714285714,0.921686746987952,0.89344262295082
shortread,10,36,10,130,314,0.969135802469136,0.897142857142857,0.931750741839763,0.906122448979592
shortread,20,35,10,130,315,0.969230769230769,0.9,0.933333333333333,0.908163265306122
