depth,technology,FN,FP,TN,TP,precision,recall,F1,Accuracy,FPR
0.5,linkedread,342,0,130,8,1,0.0228571428571429,0.0446927374301676,0.2875,0
0.5,linkedread (candidates),110,0,130,240,1,0.685714285714286,0.813559322033898,0.770833333333333,0
0.5,linkedread (pooled),23,0,0,25,1,0.520833333333333,0.684931506849315,0.520833333333333,0
0.5,ontlong,295,0,130,55,1,0.157142857142857,0.271604938271605,0.385416666666667,0
0.5,ontshort,309,0,130,41,1,0.117142857142857,0.209718670076726,0.35625,0
0.5,pacbio,309,0,130,41,1,0.117142857142857,0.209718670076726,0.35625,0
0.5,shortread,205,19,130,145,0.884146341463415,0.414285714285714,0.56420233463035,0.551102204408818,0.12751677852349
2,linkedread,255,0,130,95,1,0.271428571428571,0.426966292134831,0.46875,0
2,linkedread (candidates),95,0,130,255,1,0.728571428571429,0.84297520661157,0.802083333333333,0
2,linkedread (pooled),14,0,0,34,1,0.708333333333333,0.829268292682927,0.708333333333333,0
2,ontlong,73,2,130,277,0.992831541218638,0.791428571428571,0.880763116057234,0.844398340248963,0.0151515151515152
2,ontshort,85,0,130,265,1,0.757142857142857,0.861788617886179,0.822916666666667,0
2,pacbio,72,0,130,278,1,0.794285714285714,0.885350318471338,0.85,0
2,shortread,87,12,130,263,0.956363636363636,0.751428571428571,0.8416,0.798780487804878,0.0845070422535211
5,linkedread,117,0,130,233,1,0.665714285714286,0.799313893653516,0.75625,0
5,linkedread (candidates),60,0,130,290,1,0.828571428571429,0.90625,0.875,0
5,linkedread (pooled),10,0,0,38,1,0.791666666666667,0.883720930232558,0.791666666666667,0
5,ontlong,10,3,130,340,0.991253644314869,0.971428571428571,0.981240981240981,0.973084886128364,0.0225563909774436
5,ontshort,16,0,130,334,1,0.954285714285714,0.976608187134503,0.966666666666667,0
5,pacbio,3,1,130,347,0.997126436781609,0.991428571428571,0.994269340974212,0.991683991683992,0.00763358778625954
5,shortread,44,8,130,306,0.974522292993631,0.874285714285714,0.921686746987952,0.89344262295082,0.0579710144927536
10,linkedread,57,0,130,293,1,0.837142857142857,0.911353032659409,0.88125,0
10,linkedread (candidates),43,0,130,307,1,0.877142857142857,0.93455098934551,0.910416666666667,0
10,linkedread (pooled),8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333,0
10,ontlong,3,4,130,347,0.988603988603989,0.991428571428571,0.990014265335235,0.985537190082645,0.0298507462686567
10,ontshort,7,0,130,343,1,0.98,0.98989898989899,0.985416666666667,0
10,pacbio,1,2,130,349,0.994301994301994,0.997142857142857,0.995720399429387,0.993775933609959,0.0151515151515152
10,shortread,36,10,130,314,0.969135802469136,0.897142857142857,0.931750741839763,0.906122448979592,0.0714285714285714
20,linkedread,52,0,130,298,1,0.851428571428571,0.919753086419753,0.891666666666667,0
20,linkedread (candidates),42,0,130,308,1,0.88,0.936170212765957,0.9125,0
20,linkedread (pooled),8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333,0
20,ontlong,2,3,130,348,0.991452991452991,0.994285714285714,0.992867332382311,0.989648033126294,0.0225563909774436
20,ontshort,9,0,130,341,1,0.974285714285714,0.986975397973951,0.98125,0
20,pacbio,0,1,130,350,0.997150997150997,1,0.998573466476462,0.997920997920998,0.00763358778625954
20,shortread,35,10,130,315,0.969230769230769,0.9,0.933333333333333,0.908163265306122,0.0714285714285714
