technology,depth,zygosity,FN,FP,TN,TP,precision,recall,F1,Accuracy,FPR
linkedread,0.5,heterozygous,179,0,0,2,1,0.0110497237569061,0.0218579234972678,0.0110497237569061,0
linkedread,0.5,homozygous,163,0,130,6,1,0.0355029585798817,0.0685714285714286,0.454849498327759,0
linkedread,2,heterozygous,152,0,0,29,1,0.160220994475138,0.276190476190476,0.160220994475138,0
linkedread,2,homozygous,103,0,130,66,1,0.390532544378698,0.561702127659575,0.655518394648829,0
linkedread,5,heterozygous,71,0,0,110,1,0.607734806629834,0.756013745704467,0.607734806629834,0
linkedread,5,homozygous,46,0,130,123,1,0.727810650887574,0.842465753424658,0.846153846153846,0
linkedread,10,heterozygous,27,0,0,154,1,0.850828729281768,0.919402985074627,0.850828729281768,0
linkedread,10,homozygous,30,0,130,139,1,0.822485207100592,0.902597402597403,0.899665551839465,0
linkedread,20,heterozygous,23,0,0,158,1,0.87292817679558,0.932153392330384,0.87292817679558,0
linkedread,20,homozygous,29,0,130,140,1,0.828402366863905,0.906148867313916,0.903010033444816,0
linkedread (candidates),0.5,heterozygous,62,0,0,119,1,0.657458563535912,0.793333333333333,0.657458563535912,0
linkedread (candidates),0.5,homozygous,48,0,130,121,1,0.715976331360947,0.83448275862069,0.839464882943144,0
linkedread (candidates),2,heterozygous,56,0,0,125,1,0.69060773480663,0.816993464052288,0.69060773480663,0
linkedread (candidates),2,homozygous,39,0,130,130,1,0.769230769230769,0.869565217391304,0.869565217391304,0
linkedread (candidates),5,heterozygous,37,0,0,144,1,0.795580110497238,0.886153846153846,0.795580110497238,0
linkedread (candidates),5,homozygous,23,0,130,146,1,0.863905325443787,0.926984126984127,0.923076923076923,0
linkedread (candidates),10,heterozygous,23,0,0,158,1,0.87292817679558,0.932153392330384,0.87292817679558,0
linkedread (candidates),10,homozygous,20,0,130,149,1,0.881656804733728,0.937106918238994,0.933110367892977,0
linkedread (candidates),20,heterozygous,22,0,0,159,1,0.878453038674033,0.935294117647059,0.878453038674033,0
linkedread (candidates),20,homozygous,20,0,130,149,1,0.881656804733728,0.937106918238994,0.933110367892977,0
linkedread (pooled),0.5,heterozygous,0,0,0,0,0,0,0,0,0
linkedread (pooled),0.5,homozygous,23,0,0,25,1,0.520833333333333,0.684931506849315,0.520833333333333,0
linkedread (pooled),2,heterozygous,0,0,0,0,0,0,0,0,0
linkedread (pooled),2,homozygous,14,0,0,34,1,0.708333333333333,0.829268292682927,0.708333333333333,0
linkedread (pooled),5,heterozygous,0,0,0,0,0,0,0,0,0
linkedread (pooled),5,homozygous,10,0,0,38,1,0.791666666666667,0.883720930232558,0.791666666666667,0
linkedread (pooled),10,heterozygous,0,0,0,0,0,0,0,0,0
linkedread (pooled),10,homozygous,8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333,0
linkedread (pooled),20,heterozygous,0,0,0,0,0,0,0,0,0
linkedread (pooled),20,homozygous,8,0,0,40,1,0.833333333333333,0.909090909090909,0.833333333333333,0
ontlong,0.5,heterozygous,173,0,0,8,1,0.0441988950276243,0.0846560846560847,0.0441988950276243,0
ontlong,0.5,homozygous,122,0,130,47,1,0.27810650887574,0.435185185185185,0.591973244147157,0
